Date,Open,High,Low,Close,Adj Close,Volume
1/4/2016,21782.61914,21794.83984,21227.60938,21327.11914,21327.11914,1712094800
1/5/2016,21318.68945,21452.74023,21095.90039,21188.7207,21188.7207,1484745100
1/6/2016,21142.63086,21199.61914,20947.30078,20980.81055,20980.81055,1651083400
1/7/2016,20772.59961,20826.43945,20323.9707,20333.33984,20333.33984,2982003800
1/8/2016,20491.88086,20596.41992,20324.61914,20453.71094,20453.71094,2078133200
1/11/2016,19997.41992,20068.7793,19865.17969,19888.5,19888.5,2127840400
1/12/2016,20030.0293,20130.80078,19694.99023,19711.75977,19711.75977,1834357100
1/13/2016,20028.85938,20234.7793,19850.73047,19934.88086,19934.88086,1787070400
1/14/2016,19578.91992,19893.88086,19509.08008,19817.41016,19817.41016,1783215300
1/15/2016,19781.46094,19828.92969,19500.38086,19520.76953,19520.76953,1932607600
1/18/2016,19287.38086,19439.49023,19195.56055,19237.44922,19237.44922,2038630500
1/19/2016,19283.57031,19647.75,19204.2207,19635.81055,19635.81055,1825359900
1/20/2016,19332.2207,19332.2207,18833.88086,18886.30078,18886.30078,2459536700
1/21/2016,19079.13086,19238.26953,18534.30078,18542.15039,18542.15039,2608444800
1/22/2016,19000.78906,19152.80078,18769.60938,19080.50977,19080.50977,2388446600
1/25/2016,19341.41016,19490.26953,19291.91016,19340.14063,19340.14063,1776766600
1/26/2016,19068.83984,19098.07031,18811.83008,18860.80078,18860.80078,1873245100
1/27/2016,19211.85938,19216.99023,18931.33984,19052.44922,19052.44922,1929850700
1/28/2016,19093.76953,19223.58984,18982.2207,19195.83008,19195.83008,1941781800
1/29/2016,19138.41992,19709.99023,19130.58984,19683.10938,19683.10938,2350176600
2/1/2016,19770.96094,19770.96094,19444.25977,19595.5,19595.5,1596458400
2/2/2016,19474.86914,19628.57031,19403.49023,19446.83984,19446.83984,1783516300
2/3/2016,18910.88086,19032.71094,18764.82031,18991.58984,18991.58984,2126513100
2/4/2016,19190.35938,19338.36914,19166.17969,19183.08984,19183.08984,1556986500
2/5/2016,19287.35938,19397.88086,19230,19288.16992,19288.16992,1264808100
2/11/2016,18486.92969,18627.50977,18446.56055,18545.80078,18545.80078,1868442400
2/12/2016,18278.80078,18482.33008,18278.80078,18319.58008,18319.58008,2019813200
2/15/2016,18668.86914,18937.06055,18668.86914,18918.14063,18918.14063,1729340100
2/16/2016,19013.74023,19260.66992,18974.59961,19122.08008,19122.08008,1869161100
2/17/2016,19198.17969,19308.53906,18909.06055,18924.57031,18924.57031,1689473500
2/18/2016,19409.21094,19436.39063,19266.2207,19363.08008,19363.08008,1843924000
2/19/2016,19238.42969,19342.0293,19210.65039,19285.5,19285.5,1268689800
2/22/2016,19374.24023,19524.9707,19374.24023,19464.08984,19464.08984,1207462000
2/23/2016,19506.93945,19519.84961,19328.25977,19414.7793,19414.7793,1225027600
2/24/2016,19282.33984,19360.80078,19060.16016,19192.44922,19192.44922,1302717300
2/25/2016,19215.49023,19215.49023,18867.69922,18888.75,18888.75,1395869600
2/26/2016,19179.94922,19436.71094,19122.56055,19364.15039,19364.15039,1633549100
2/29/2016,19366.16992,19377.7207,19053.7793,19111.92969,19111.92969,1270443900
3/1/2016,19259.99023,19420,19108.30078,19407.46094,19407.46094,1473881700
3/2/2016,19788.16992,20058.11914,19783.91992,20003.49023,20003.49023,2455833600
3/3/2016,20082.00977,20082.00977,19791.59961,19941.75977,19941.75977,1761676100
3/4/2016,20052.09961,20200.38086,19977.42969,20176.69922,20176.69922,1907805100
3/7/2016,20306.08984,20331.68945,20095.63086,20159.7207,20159.7207,1930240900
3/8/2016,20132.09961,20137.73047,19902.75,20011.58008,20011.58008,1449306300
3/9/2016,19898.74023,20005.41016,19818.41992,19996.25977,19996.25977,1202836200
3/10/2016,20055.41992,20184.23047,19923.53906,19984.41992,19984.41992,1384555000
3/11/2016,19900.66992,20238.7207,19853.63086,20199.59961,20199.59961,1970725700
3/14/2016,20371.58984,20512.0293,20328.88086,20435.33984,20435.33984,1722861700
3/15/2016,20298.15039,20366.56055,20254.58984,20288.76953,20288.76953,1193143900
3/16/2016,20339.90039,20383.19922,20168.74023,20257.69922,20257.69922,1213704800
3/17/2016,20580.06055,20619.33984,20435.65039,20503.81055,20503.81055,1696007800
3/18/2016,20599.18945,20687.9707,20514.9707,20671.63086,20671.63086,2091585400
3/21/2016,20738.25,20772.46094,20618.56055,20684.15039,20684.15039,1520109900
3/22/2016,20765.07031,20765.07031,20576.80078,20666.75,20666.75,1303372700
3/23/2016,20629.40039,20693.48047,20513.60938,20615.23047,20615.23047,1185399100
3/24/2016,20450.68945,20499.40039,20268.5293,20345.60938,20345.60938,1460918200
3/29/2016,20386.32031,20386.32031,20250.15039,20366.30078,20366.30078,1303869800
3/30/2016,20545.43945,20820.73047,20541.07031,20803.39063,20803.39063,2058668600
3/31/2016,20811.46094,20872.55078,20689.2207,20776.69922,20776.69922,1781006800
4/1/2016,20786.17969,20786.17969,20455.41016,20498.91992,20498.91992,1633594800
4/5/2016,20786.17969,20786.17969,20116.86914,20177,20177,3560825800
4/6/2016,20100,20249.83984,20100,20206.66992,20206.66992,1338272400
4/7/2016,20297.82031,20370.51953,20165.75977,20266.05078,20266.05078,1493940300
4/8/2016,20061.59961,20370.43945,20045.4707,20370.40039,20370.40039,1435612200
4/11/2016,20255.83984,20550.94922,20240.68945,20440.81055,20440.81055,1234203400
4/12/2016,20440.7207,20546.42969,20407.82031,20504.43945,20504.43945,997121600
4/13/2016,20739.33984,21171.28906,20716.91016,21158.71094,21158.71094,2500342000
4/14/2016,21456.60938,21511.08008,21266.21094,21337.81055,21337.81055,2054279800
4/15/2016,21374.65039,21423.06055,21234.11914,21316.4707,21316.4707,1413648900
4/18/2016,21129.67969,21172,21002.76953,21161.5,21161.5,1426843200
4/19/2016,21438.13086,21459.03906,21259.16992,21436.21094,21436.21094,1462091100
4/20/2016,21452.82031,21452.82031,21103.33984,21236.31055,21236.31055,1716745500
4/21/2016,21406.40039,21634.74023,21331.58984,21622.25,21622.25,1709117500
4/22/2016,21448.15039,21495.78906,21358.5293,21467.03906,21467.03906,1282700700
4/25/2016,21408.56055,21430.57031,21254.46094,21304.43945,21304.43945,1199972500
4/26/2016,21380.01953,21419.91992,21080.88086,21407.26953,21407.26953,1346786700
4/27/2016,21372.33008,21442.50977,21277.03906,21361.59961,21361.59961,1247249600
4/28/2016,21488.96094,21654.07031,21255.41992,21388.0293,21388.0293,1684154400
4/29/2016,21215.19922,21235.39063,21023.76953,21067.05078,21067.05078,1603138400
5/3/2016,21061.76953,21061.76953,20668.36914,20676.93945,20676.93945,1707676300
5/4/2016,20556.5,20580.38086,20411.41016,20525.83008,20525.83008,1555895400
5/5/2016,20363.85938,20534.75977,20342.75,20449.82031,20449.82031,1354977100
5/6/2016,20357.44922,20377.93945,20058.76953,20109.86914,20109.86914,1725801800
5/9/2016,20279.90039,20303.18945,20125.7793,20156.81055,20156.81055,1323285400
5/10/2016,19962.42969,20294.46094,19962.42969,20242.67969,20242.67969,1446925800
5/11/2016,20347.75977,20347.75977,20008.91992,20055.28906,20055.28906,1337926500
5/12/2016,20100.5,20100.5,19863.61914,19915.46094,19915.46094,1150409200
5/13/2016,19843.49023,19881.91016,19594.60938,19719.28906,19719.28906,1758498600
5/16/2016,19711.76953,19998.75977,19705.91016,19883.94922,19883.94922,1486067400
5/17/2016,19987.24023,20145.76953,19847.69922,20118.80078,20118.80078,1568659300
5/18/2016,19862.41992,19923.83008,19749.28906,19826.41016,19826.41016,1351584400
5/19/2016,19729.63086,19793.46094,19646.34961,19694.33008,19694.33008,1148089000
5/20/2016,19631.71094,19954.33008,19631.71094,19852.19922,19852.19922,1247729300
5/23/2016,19788.13086,19955.0293,19750.61914,19809.0293,19809.0293,1086593700
5/24/2016,19828.01953,19870.16016,19712.66992,19830.42969,19830.42969,1174095900
5/25/2016,20156.75977,20379.66016,20156.75977,20368.05078,20368.05078,2040761100
5/26/2016,20373.48047,20404.73047,20249.96094,20397.10938,20397.10938,1347013200
5/27/2016,20425,20620.15039,20290.83984,20576.76953,20576.76953,1611353900
5/30/2016,20523.66992,20765.60938,20465.83984,20629.39063,20629.39063,1793022100
5/31/2016,20617.33008,20974.71094,20617.33008,20815.08984,20815.08984,3129577700
6/1/2016,20726.5293,20898.44922,20713.28906,20760.98047,20760.98047,1422260700
6/2/2016,20769.81055,20878.21094,20680.65039,20859.2207,20859.2207,1988238300
6/3/2016,20956.08008,21049.19922,20887.78906,20947.24023,20947.24023,1869294300
6/6/2016,20971.13086,21039.86914,20840.94922,21030.2207,21030.2207,1431229200
6/7/2016,21218.96094,21351.33008,21153.67969,21328.24023,21328.24023,1820198000
6/8/2016,21294.26953,21352.36914,21179.94922,21297.88086,21297.88086,1506480000
6/10/2016,21240.08008,21270.61914,21017.98047,21042.64063,21042.64063,1640607200
6/13/2016,20647.50977,20664.58984,20430.81055,20512.99023,20512.99023,2083433200
6/14/2016,20476.75,20537.91992,20358.93945,20387.5293,20387.5293,1498720500
6/15/2016,20161.00977,20553.58008,20161.00977,20467.51953,20467.51953,1729131100
6/16/2016,20284.91016,20297.40039,19964.36914,20038.41992,20038.41992,1901944200
6/17/2016,20244.23047,20282.03906,20090.80078,20169.98047,20169.98047,2193634100
6/20/2016,20425.06055,20551.01953,20288.49023,20510.19922,20510.19922,1565765000
6/21/2016,20522.35938,20681.78906,20516.73047,20668.43945,20668.43945,1608985100
6/22/2016,20553.93945,20841.50977,20515.25,20795.11914,20795.11914,1835867700
6/23/2016,20862.58984,20889.05078,20753.93945,20868.33984,20868.33984,1663934000
6/24/2016,20483.50977,21034.17969,19662.69922,20259.13086,20259.13086,3953268600
6/27/2016,19982.66016,20329.16016,19969.4707,20227.30078,20227.30078,1789673800
6/28/2016,19898.75,20196.19922,19898.75,20172.46094,20172.46094,1919983900
6/29/2016,null,null,null,null,null,null
6/30/2016,20736.84961,20828.0293,20614.65039,20794.36914,20794.36914,2032778200
7/4/2016,20967.4707,21166.01953,20840.64063,21059.19922,21059.19922,1838333600
7/5/2016,20919.51953,20945.98047,20737.16016,20750.7207,20750.7207,1225382700
7/6/2016,20475.40039,20560.06055,20304.39063,20495.28906,20495.28906,1633236900
7/7/2016,20606.67969,20731.11914,20576.74023,20706.91992,20706.91992,1125369300
